Kudos Date,Kudos Type,Parent ID
"May 31, 2015, 12:04:47 AM",Activity,314857251
"May 31, 2015, 12:04:48 AM",Activity,314930222
"Jun 4, 2015, 11:40:41 PM",Activity,318512238
"Jun 5, 2015, 1:38:51 PM",Activity,318749404
"Jun 5, 2015, 10:10:22 PM",Activity,319027180
"Jun 6, 2015, 7:21:15 PM",Activity,319761748
"Jun 6, 2015, 7:21:16 PM",Activity,319758167
"Jun 7, 2015, 2:20:43 AM",Activity,319911140
"Jun 7, 2015, 7:56:24 PM",Activity,320634793
"Jun 7, 2015, 8:09:02 PM",Activity,320527893
"Jun 7, 2015, 8:09:17 PM",Activity,320340886
"Jun 7, 2015, 8:09:28 PM",Activity,320340892
"Jun 7, 2015, 8:09:40 PM",Activity,315552217
"Jun 7, 2015, 8:09:42 PM",Activity,315543545
"Jun 7, 2015, 8:09:57 PM",Activity,314396715
"Jun 8, 2015, 1:31:10 AM",Activity,320801904
"Jun 8, 2015, 1:00:37 PM",Activity,320996631
"Jun 10, 2015, 1:55:54 AM",Activity,322164483
"Jun 10, 2015, 1:56:00 AM",Activity,322164486
"Jun 11, 2015, 12:57:14 PM",Activity,322939386
"Jun 12, 2015, 3:30:19 PM",Activity,323821236
"Jun 12, 2015, 3:30:21 PM",Activity,323803032
"Jun 12, 2015, 3:30:45 PM",Activity,323572727
"Jun 12, 2015, 8:00:41 PM",Activity,324015925
"Jun 13, 2015, 2:35:03 AM",Activity,324121297
"Jun 13, 2015, 2:35:12 AM",Activity,324017540
"Jun 13, 2015, 7:04:24 PM",Activity,324696272
"Jun 13, 2015, 7:30:48 PM",Activity,324719377
"Jun 13, 2015, 7:59:15 PM",Activity,324741801
"Jun 13, 2015, 10:02:06 PM",Activity,324801768
"Jun 14, 2015, 4:29:00 PM",Activity,325351886
"Jun 14, 2015, 4:29:03 PM",Activity,324905183
"Jun 14, 2015, 11:37:22 PM",Activity,325291251
"Jun 15, 2015, 12:48:31 AM",Activity,325699390
"Jun 15, 2015, 1:16:31 PM",Activity,325692025
"Jun 17, 2015, 4:13:15 AM",Activity,326911833
"Jun 17, 2015, 9:31:03 PM",Activity,327224192
"Jun 17, 2015, 9:31:07 PM",Activity,327465719
"Jun 17, 2015, 9:31:07 PM",Activity,327565813
"Jun 19, 2015, 2:00:54 PM",Activity,328558170
"Jun 19, 2015, 10:10:15 PM",Activity,328833976
"Jun 21, 2015, 8:27:45 PM",Activity,330287307
"Jun 21, 2015, 9:18:59 PM",Activity,330259948
"Jun 22, 2015, 11:54:13 PM",Activity,330923824
"Jun 25, 2015, 2:42:18 PM",Activity,332619980
"Jun 26, 2015, 1:51:52 PM",Activity,333308712
"Jun 26, 2015, 8:25:44 PM",Activity,333579267
"Jun 27, 2015, 1:36:33 AM",Activity,333659138
"Jun 27, 2015, 2:44:14 AM",Activity,333714256
"Jun 27, 2015, 6:07:57 PM",Activity,334202196
"Jun 27, 2015, 6:07:59 PM",Activity,334179862
"Jun 30, 2015, 1:29:35 AM",Activity,335799233
"Jun 30, 2015, 1:29:40 AM",Activity,335772352
"Jun 30, 2015, 5:00:20 AM",Activity,335852766
"Jun 30, 2015, 4:59:46 PM",Activity,336072513
"Jul 1, 2015, 12:17:16 AM",Activity,336498298
"Jul 1, 2015, 10:23:17 PM",Activity,337162670
"Jul 2, 2015, 12:28:32 AM",Activity,337209565
"Jul 2, 2015, 1:18:05 PM",Activity,337490180
"Jul 2, 2015, 1:18:08 PM",Activity,337486240
"Jul 2, 2015, 8:23:52 PM",Activity,337785775
"Jul 4, 2015, 11:11:12 PM",Activity,338918111
"Jul 4, 2015, 11:11:14 PM",Activity,338957755
"Jul 4, 2015, 11:11:22 PM",Activity,338219455
"Jul 4, 2015, 11:11:23 PM",Activity,338253741
"Jul 5, 2015, 7:51:08 PM",Activity,339864503
"Jul 6, 2015, 12:13:56 AM",Activity,340008961
"Jul 6, 2015, 12:48:06 AM",Activity,340018265
"Jul 6, 2015, 11:50:08 PM",Activity,340617944
"Jul 6, 2015, 11:50:09 PM",Activity,340596358
"Jul 7, 2015, 9:35:23 PM",Activity,341027386
"Jul 7, 2015, 9:35:30 PM",Activity,341194082
"Jul 10, 2015, 4:08:46 PM",Activity,342965391
"Jul 10, 2015, 4:08:49 PM",Activity,342712876
"Jul 10, 2015, 10:52:33 PM",Activity,343200360
"Jul 11, 2015, 5:38:31 PM",Activity,343874242
"Jul 11, 2015, 5:38:38 PM",Activity,343865931
"Jul 11, 2015, 5:38:40 PM",Activity,343426841
"Jul 11, 2015, 5:38:42 PM",Activity,343348746
"Jul 11, 2015, 5:38:45 PM",Activity,343349473
"Jul 14, 2015, 7:57:20 PM",Activity,344888075
"Jul 14, 2015, 7:57:29 PM",Activity,345753095
"Jul 15, 2015, 3:30:02 PM",Activity,346507252
"Jul 17, 2015, 9:38:19 PM",Activity,348240046
"Jul 17, 2015, 9:38:20 PM",Activity,348239946
"Jul 18, 2015, 11:19:38 PM",Activity,349012259
"Jul 19, 2015, 9:59:25 PM",Activity,349726306
"Jul 20, 2015, 12:24:48 AM",Activity,349504997
"Jul 20, 2015, 12:26:09 AM",Activity,344101137
"Jul 20, 2015, 12:26:13 AM",Activity,344098943
"Jul 20, 2015, 1:55:09 PM",Activity,350122997
"Jul 20, 2015, 1:55:14 PM",Activity,350075881
"Jul 20, 2015, 3:01:48 PM",Activity,346183850
"Jul 21, 2015, 1:20:40 AM",Activity,350490144
"Jul 21, 2015, 1:20:42 AM",Activity,350493746
"Jul 22, 2015, 3:28:40 AM",Activity,351316916
"Jul 23, 2015, 12:49:12 AM",Activity,351961809
"Jul 23, 2015, 2:42:57 AM",Activity,301326155
"Jul 23, 2015, 2:43:01 AM",Activity,293232906
"Jul 23, 2015, 4:28:37 AM",Activity,352069197
"Jul 24, 2015, 12:56:29 AM",Activity,352729666
"Jul 24, 2015, 12:56:34 AM",Activity,352641724
"Jul 24, 2015, 1:52:59 AM",Activity,352748595
"Jul 24, 2015, 1:25:44 PM",Activity,352969735
"Jul 24, 2015, 8:25:06 PM",Activity,353220749
"Jul 25, 2015, 1:27:07 AM",Activity,353318130
"Jul 25, 2015, 1:33:46 AM",Activity,353261017
"Jul 26, 2015, 3:06:51 PM",Activity,354475758
"Jul 26, 2015, 3:06:54 PM",Activity,353734991
"Jul 26, 2015, 3:31:03 PM",Activity,354517658
"Jul 26, 2015, 5:45:52 PM",Activity,354613203
"Jul 26, 2015, 7:14:56 PM",Activity,354694073
"Jul 26, 2015, 11:54:39 PM",Activity,354857259
"Jul 27, 2015, 2:28:04 PM",Activity,355143906
"Jul 27, 2015, 5:18:31 PM",Activity,355261098
"Jul 28, 2015, 12:21:32 AM",Activity,355514338
"Jul 30, 2015, 1:32:09 PM",Activity,356955546
"Jul 31, 2015, 1:17:09 PM",Activity,357945450
"Jul 31, 2015, 1:17:14 PM",Activity,357923882
"Jul 31, 2015, 9:19:28 PM",Activity,358202071
"Jul 31, 2015, 10:44:51 PM",Activity,358264968
"Aug 1, 2015, 10:26:36 PM",Activity,358791279
"Aug 1, 2015, 10:26:45 PM",Activity,358810312
"Aug 2, 2015, 5:15:57 AM",Activity,359096315
"Aug 3, 2015, 1:12:07 AM",Activity,360002055
"Aug 3, 2015, 1:12:08 AM",Activity,360002634
"Aug 5, 2015, 6:52:58 PM",Activity,361360375
"Aug 6, 2015, 12:08:39 AM",Activity,362178451
"Aug 6, 2015, 12:08:41 AM",Activity,362172198
"Aug 6, 2015, 12:08:45 AM",Activity,362158950
"Aug 6, 2015, 4:47:24 AM",Activity,362174128
"Aug 7, 2015, 3:24:50 AM",Activity,362989846
"Aug 7, 2015, 3:24:56 AM",Activity,362952223
"Aug 7, 2015, 5:21:39 AM",Activity,361487930
"Aug 7, 2015, 5:12:43 PM",Activity,363266267
"Aug 7, 2015, 11:12:19 PM",Activity,363617839
"Aug 7, 2015, 11:53:21 PM",Activity,363685118
"Aug 8, 2015, 1:07:38 AM",Activity,363703827
"Aug 8, 2015, 4:30:25 PM",Activity,364263807
"Aug 8, 2015, 5:36:48 PM",Activity,364336121
"Aug 8, 2015, 9:15:45 PM",Activity,364221611
"Aug 10, 2015, 12:55:05 AM",Activity,365479406
"Aug 10, 2015, 11:15:58 PM",Activity,366113519
"Aug 13, 2015, 12:21:55 AM",Activity,367704525
"Aug 13, 2015, 3:37:19 PM",Activity,367986514
"Aug 15, 2015, 4:59:18 PM",Activity,369502250
"Aug 17, 2015, 12:01:58 AM",Activity,370740908
"Aug 18, 2015, 1:13:22 AM",Activity,371408732
"Aug 22, 2015, 12:25:44 AM",Activity,373800904
"Aug 22, 2015, 7:30:53 PM",Activity,374983390
"Aug 22, 2015, 7:30:54 PM",Activity,375074352
"Aug 22, 2015, 8:29:03 PM",Activity,375081157
"Aug 23, 2015, 4:27:38 AM",Activity,372725204
"Aug 23, 2015, 4:27:44 AM",Activity,371751445
"Aug 23, 2015, 4:27:47 AM",Activity,371428895
"Aug 23, 2015, 4:28:19 AM",Activity,369085460
